"group","id_month","behavior","perc_behavior_mean","perc_behavior_sd"
"Guareí","Aug","Foraging",34.4556296786758,8.92014473517386
"Guareí","Aug","Frugivory",27.3827577936965,6.74380510485916
"Guareí","Aug","Resting",11.8399944842181,7.7786745884108
"Guareí","Aug","Travel",14.9168470539346,5.47673239070286
"Guareí","Jul","Foraging",26.0815519629014,8.40532361925358
"Guareí","Jul","Frugivory",37.0922637062055,12.2370400557715
"Guareí","Jul","Resting",5.11092540728327,1.94442639629682
"Guareí","Jul","Travel",22.5194833211812,3.82608401278529
"Guareí","Jun","Foraging",27.5913681653336,8.7367637626895
"Guareí","Jun","Frugivory",27.8390235453816,6.30237630402037
"Guareí","Jun","Resting",5.47333513165129,2.16995182570089
"Guareí","Jun","Travel",30.635985669282,4.05881146415883
"Guareí","May","Foraging",18.9702060391716,2.99999168930598
"Guareí","May","Frugivory",36.5465664603596,11.8244943725429
"Guareí","May","Resting",4.29321396993811,3.83586299351016
"Guareí","May","Travel",33.3817786619511,4.46903177029524
"Santa Maria","Apr","Foraging",13.3220345763812,4.78334946026688
"Santa Maria","Apr","Frugivory",35.3112474623461,3.3357388232251
"Santa Maria","Apr","Resting",34.6504551183636,4.109631876956
"Santa Maria","Apr","Travel",8.40390323485279,2.3769275389424
"Santa Maria","Mar","Foraging",14.7724332823316,9.89184007882804
"Santa Maria","Mar","Frugivory",25.1928958759113,13.3339189557558
"Santa Maria","Mar","Resting",35.3246818538484,10.9152695736566
"Santa Maria","Mar","Travel",10.1415161724714,5.09475033586902
"Suzano","Dec","Foraging",7.11110707655651,1.21833693537617
"Suzano","Dec","Frugivory",17.0993592293078,3.66894324482404
"Suzano","Dec","Resting",44.7312902223732,5.30149562557776
"Suzano","Dec","Travel",27.2804295373712,6.65041359260956
"Suzano","Sep","Foraging",9.52935694315005,1.05836794297548
"Suzano","Sep","Frugivory",19.5888992440717,2.81953881153922
"Suzano","Sep","Resting",47.3995547271409,6.09479112005851
"Suzano","Sep","Travel",21.1766076421249,6.0950805182427
"Taquara","Jan","Foraging",9.57805761490886,1.28859327864569
"Taquara","Jan","Frugivory",18.7081790838578,4.69484761888585
"Taquara","Jan","Resting",32.307618999827,6.56362629458891
"Taquara","Jan","Travel",35.3644991522944,5.18112370813313
