"group","id_month","perc_behavior_mean_Foraging","perc_behavior_mean_Travel","perc_behavior_sd_Foraging","perc_behavior_sd_Travel","p_foraging_while_traveling"
"Guareí","Aug",34.4556296786758,14.9168470539346,8.92014473517386,5.47673239070286,0.697871201910313
"Guareí","Jul",26.0815519629014,22.5194833211812,8.40532361925358,3.82608401278529,0.536646016086892
"Guareí","Jun",27.5913681653336,30.635985669282,8.7367637626895,4.05881146415883,0.473855779943254
"Guareí","May",18.9702060391716,33.3817786619511,2.99999168930598,4.46903177029524,0.362358870393786
"Santa Maria","Apr",13.3220345763812,8.40390323485279,4.78334946026688,2.3769275389424,0.613185708811736
"Santa Maria","Mar",14.7724332823316,10.1415161724714,9.89184007882804,5.09475033586902,0.592938237637939
"Suzano","Dec",7.11110707655651,27.2804295373712,1.21833693537617,6.65041359260956,0.206769100095304
"Suzano","Sep",9.52935694315005,21.1766076421249,1.05836794297548,6.0950805182427,0.310342211093406
"Taquara","Jan",9.57805761490886,35.3644991522944,1.28859327864569,5.18112370813313,0.213117773083583
