"group","species","mean_min","sd_min","sqrt_min","error_min","mean_timestep","sd_timestep"
"Suzano","Rhipsalis teres",16.6666666666667,7.63762615825973,1.73205080756888,4.40958551844098,3.33333333333333,1.52752523165195
"Suzano","Abuta selloana",15,NA,1,NA,3,NA
"Suzano","Casearia sylvestris",15,0,1.4142135623731,0,3,0
"Suzano","Cordia sellowiana",15,0,1.4142135623731,0,3,0
"Suzano","Myrciaria cuspidata",12.5,3.53553390593274,1.4142135623731,2.5,2.5,0.707106781186548
"Suzano","Myrsine umbellata",15,NA,1,NA,3,NA
"Suzano","Pera glabrata",20,7.07106781186548,1.4142135623731,5,4,1.4142135623731
"Suzano","Philodendron spp.",12.5,3.53553390593274,1.4142135623731,2.5,2.5,0.707106781186548
"Suzano","Plinia trunciflora",14.2857142857143,3.45032779671177,2.64575131106459,1.30410132739325,2.85714285714286,0.690065559342354
"Suzano","Randia armata",10,NA,1,NA,2,NA
"Suzano","Trichilia catigua",11.6666666666667,4.08248290463863,2.44948974278318,1.66666666666667,2.33333333333333,0.816496580927726
"Suzano","Xylopia brasiliensis",15,4.08248290463863,2.64575131106459,1.54303349962092,3,0.816496580927726
"Suzano","Syagrus romanzoffiana",12.5,3.98476829669912,6.16441400296898,0.646414775967339,2.5,0.796953659339823
"Guareí","Rhipsalis cereuscula",15,NA,1,NA,3,NA
"Guareí","Celtis iguanaea",22.8448275862069,18.3080863393296,7.61577310586391,2.40396950970519,4.56896551724138,3.66161726786593
"Guareí","Cissus sulcicaulis",5,NA,1,NA,1,NA
"Guareí","Pereskia aculeata",13.5350318471338,9.02740035727439,12.5299640861417,0.720464982597901,2.70700636942675,1.80548007145488
"Guareí","Syagrus romanzoffiana",14.3333333333333,7.99717464232756,7.74596669241483,1.03243080688156,2.86666666666667,1.59943492846551
"Guareí","Eugenia sp.",20,14.142135623731,1.4142135623731,10,4,2.82842712474619
"Guareí","Dyospiros inconstans",10,NA,1,NA,2,NA
"Guareí",NA,7.5,3.53553390593274,1.4142135623731,2.5,1.5,0.707106781186548
"Santa Maria","Myrcia splendens",22.5,10.4083299973307,2,5.20416499866533,4.5,2.08166599946613
"Santa Maria","Phoradendron quadrangulare",15,9.12870929175277,2,4.56435464587638,3,1.82574185835055
"Santa Maria","Celtis fluminensis",13.28125,11.0431247769239,5.65685424949238,1.95216710381301,2.65625,2.20862495538477
"Santa Maria","Eugenia aff. ramboi",8.26086956521739,6.32611751754975,4.79583152331272,1.31908668742808,1.65217391304348,1.26522350350995
"Santa Maria",NA,14.1538461538462,12.7649798878988,8.06225774829855,1.58330089243212,2.83076923076923,2.55299597757977
"Taquara","Allophylus edulis",7.5,2.88675134594813,2,1.44337567297406,1.5,0.577350269189626
"Taquara","Campomanesia xanthocarpa",17.2222222222222,5.06896877524852,3,1.68965625841617,3.44444444444444,1.0137937550497
"Taquara","Eugenia brasiliensis",14.5454545454545,3.50324524872685,3.3166247903554,1.0562681853293,2.90909090909091,0.700649049745371
"Taquara","Eugenia punicifolia",20,NA,1,NA,4,NA
"Taquara","Ficus enormis",16.6666666666667,4.08248290463863,2.44948974278318,1.66666666666667,3.33333333333333,0.816496580927726
"Taquara","Myrceugenia ovata",10,7.07106781186548,1.4142135623731,5,2,1.4142135623731
"Taquara","Psidium longipetiolatum",16.1111111111111,2.20479275922049,3,0.734930919740164,3.22222222222222,0.440958551844098
"Taquara","Psidium myrtoides",12.5,3.53553390593274,1.4142135623731,2.5,2.5,0.707106781186548
"Taquara","Rhipsalis cereuscula",12.5,2.88675134594813,2,1.44337567297406,2.5,0.577350269189626
"Taquara","Rhipsalis teres",11,2.23606797749979,2.23606797749979,1,2.2,0.447213595499958
"Taquara","Sorocea bonplandii",5,0,1.73205080756888,0,1,0
"Taquara","Syagrus romanzoffiana",10,0,1.4142135623731,0,2,0
