"group","id_month","date","time_wakeup","time_sleep","time_wakesleep_diff"
"Guareí","Aug",2019-08-11,07:25:00,16:55:00,09:30:00
"Guareí","Aug",2019-08-12,07:05:00,16:55:00,09:50:00
"Guareí","Aug",2019-08-13,07:15:00,16:50:00,09:35:00
"Guareí","Aug",2019-08-14,07:35:00,16:10:00,08:35:00
"Guareí","Aug",2019-08-15,07:55:00,16:20:00,08:25:00
"Guareí","Aug",2019-08-19,07:25:00,14:10:00,06:45:00
"Guareí","Aug",2019-08-20,06:55:00,16:05:00,09:10:00
"Guareí","Aug",2019-08-21,07:05:00,16:50:00,09:45:00
"Guareí","Jul",2019-07-11,08:30:00,16:10:00,07:40:00
"Guareí","Jul",2019-07-12,07:35:50,17:30:50,09:55:00
"Guareí","Jul",2019-07-13,07:50:00,16:25:00,08:35:00
"Guareí","Jul",2019-07-16,08:05:00,17:05:00,09:00:00
"Guareí","Jul",2019-07-17,08:00:00,16:15:00,08:15:00
"Guareí","Jul",2019-07-18,07:50:00,16:35:00,08:45:00
"Guareí","Jul",2019-07-19,07:50:00,16:45:00,08:55:00
"Guareí","Jul",2019-07-20,07:30:00,16:50:00,09:20:00
"Guareí","Jun",2019-06-10,07:20:00,16:25:00,09:05:00
"Guareí","Jun",2019-06-11,07:30:00,15:35:00,08:05:00
"Guareí","Jun",2019-06-12,07:20:00,16:00:00,08:40:00
"Guareí","Jun",2019-06-14,07:00:00,16:50:00,09:50:00
"Guareí","Jun",2019-06-15,06:45:00,16:35:00,09:50:00
"Guareí","Jun",2019-06-17,07:05:00,15:50:00,08:45:00
"Guareí","May",2019-05-16,07:25:00,17:00:00,09:35:00
"Guareí","May",2019-05-17,07:25:00,16:30:00,09:05:00
"Guareí","May",2019-05-18,07:35:00,16:10:00,08:35:00
"Guareí","May",2019-05-20,06:45:00,16:25:00,09:40:00
"Santa Maria","Apr",2015-04-09,07:10:00,16:00:00,08:50:00
"Santa Maria","Apr",2015-04-11,07:25:00,16:40:00,09:15:00
"Santa Maria","Apr",2015-04-12,07:20:00,17:10:00,09:50:00
"Santa Maria","Apr",2015-04-15,07:40:00,17:00:00,09:20:00
"Santa Maria","Mar",2015-03-15,07:05:00,15:25:00,08:20:00
"Santa Maria","Mar",2015-03-18,06:35:00,17:45:00,11:10:00
"Santa Maria","Mar",2015-03-20,06:45:00,16:30:00,09:45:00
"Santa Maria","Mar",2015-03-21,06:40:00,16:30:00,09:50:00
"Santa Maria","Mar",2015-03-29,07:05:00,17:00:00,09:55:00
"Santa Maria","Mar",2015-03-31,07:15:00,16:00:00,08:45:00
"Suzano","Dec",2018-12-06,07:00:00,17:50:00,10:50:00
"Suzano","Dec",2018-12-07,07:30:00,17:45:00,10:15:00
"Suzano","Dec",2018-12-08,07:50:00,17:50:00,10:00:00
"Suzano","Dec",2018-12-09,07:35:00,18:00:00,10:25:00
"Suzano","Dec",2018-12-10,08:10:00,16:55:00,08:45:00
"Suzano","Dec",2018-12-11,07:45:00,17:30:00,09:45:00
"Suzano","Sep",2018-09-09,07:50:00,17:00:00,09:10:00
"Suzano","Sep",2018-09-10,07:30:00,17:25:00,09:55:00
"Suzano","Sep",2018-09-11,07:35:00,17:10:00,09:35:00
"Taquara","Jan",2018-01-27,08:05:00,19:00:00,10:55:00
"Taquara","Jan",2018-01-28,06:50:00,18:35:00,11:45:00
"Taquara","Jan",2018-01-29,07:00:00,19:10:00,12:10:00
"Taquara","Jan",2018-01-30,07:10:00,18:45:00,11:35:00
"Taquara","Jan",2018-01-31,07:10:00,19:25:00,12:15:00
"Taquara","Jan",2018-02-03,06:40:00,18:45:00,12:05:00
